month,store_id,product_id,opening_stock,received_qty,sold_qty,damaged_qty,closing_stock
2025-01-01,S001,P001,32,87,84,3,32
2025-01-01,S001,P002,231,179,54,0,356
2025-01-01,S001,P003,141,168,8,2,299
2025-01-01,S001,P004,56,154,141,3,66
2025-01-01,S001,P005,171,128,298,1,0
2025-01-01,S001,P006,206,126,67,2,263
2025-01-01,S001,P007,157,116,187,1,85
2025-01-01,S001,P008,167,28,98,1,96
2025-01-01,S001,P009,98,116,63,1,150
2025-01-01,S001,P010,200,23,69,0,154
2025-01-01,S001,P011,166,161,186,1,140
2025-01-01,S001,P012,172,57,183,2,44
2025-01-01,S001,P013,167,75,59,0,183
2025-01-01,S001,P014,66,58,40,0,84
2025-01-01,S001,P015,164,142,306,3,0
2025-01-01,S001,P016,226,167,78,0,315
2025-01-01,S001,P017,179,113,203,2,87
2025-01-01,S001,P018,69,21,9,2,79
2025-01-01,S001,P019,86,82,57,0,111
2025-01-01,S001,P020,205,22,117,0,110
2025-01-01,S002,P001,181,0,116,0,65
2025-01-01,S002,P002,133,116,110,2,137
2025-01-01,S002,P003,146,152,298,3,0
2025-01-01,S002,P004,201,89,116,3,171
2025-01-01,S002,P005,54,19,68,2,3
2025-01-01,S002,P006,105,27,111,0,21
2025-01-01,S002,P007,175,115,16,2,272
2025-01-01,S002,P008,21,84,51,1,53
2025-01-01,S002,P009,176,0,33,0,143
2025-01-01,S002,P010,67,154,115,3,103
2025-01-01,S002,P011,159,104,177,2,84
2025-01-01,S002,P012,183,59,128,2,112
2025-01-01,S002,P013,112,175,42,0,245
2025-01-01,S002,P014,141,142,148,0,135
2025-01-01,S002,P015,127,4,4,3,124
2025-01-01,S002,P016,83,13,92,1,3
2025-01-01,S002,P017,183,24,126,-1,81
2025-01-01,S002,P018,132,37,133,0,36
2025-01-01,S002,P019,233,33,110,3,153
2025-01-01,S002,P020,33,56,75,0,14
2025-01-01,S003,P001,146,6,146,3,3
2025-01-01,S003,P002,110,83,73,2,118
2025-01-01,S003,P003,37,173,58,0,152
2025-01-01,S003,P004,137,85,209,0,13
2025-01-01,S003,P005,20,172,106,0,86
2025-01-01,S003,P006,104,49,15,3,135
2025-01-01,S003,P007,122,22,26,0,118
2025-01-01,S003,P008,98,39,9,0,128
2025-01-01,S003,P009,57,41,39,3,56
2025-01-01,S003,P010,50,163,67,0,146
2025-01-01,S003,P011,163,144,132,3,172
2025-01-01,S003,P012,90,125,9,1,205
2025-01-01,S003,P013,195,137,284,3,45
2025-01-01,S003,P014,241,178,252,0,167
2025-01-01,S003,P015,111,177,261,0,27
2025-01-01,S003,P016,221,43,31,1,232
2025-01-01,S003,P017,136,84,8,0,212
2025-01-01,S003,P018,245,62,216,2,89
2025-01-01,S003,P019,138,180,226,3,89
2025-01-01,S003,P020,98,159,37,0,220
2025-01-01,S004,P001,243,22,198,1,66
2025-01-01,S004,P002,88,178,238,1,27
2025-01-01,S004,P003,139,41,2,1,177
2025-01-01,S004,P004,56,145,175,0,26
2025-01-01,S004,P005,171,20,119,1,71
2025-01-01,S004,P006,40,56,17,1,78
2025-01-01,S004,P007,114,125,166,0,73
2025-01-01,S004,P008,227,44,226,1,44
2025-01-01,S004,P009,236,54,21,0,269
2025-01-01,S004,P010,93,124,55,0,162
2025-01-01,S004,P011,229,157,104,0,282
2025-01-01,S004,P012,44,178,67,0,155
2025-01-01,S004,P013,121,137,156,0,102
2025-01-01,S004,P014,91,148,183,2,54
2025-01-01,S004,P015,177,58,232,2,1
2025-01-01,S004,P016,236,134,124,2,244
2025-01-01,S004,P017,168,108,31,1,244
2025-01-01,S004,P018,43,157,84,2,-10
2025-01-01,S004,P019,67,69,15,0,121
2025-01-01,S004,P020,54,25,10,1,68
2025-01-01,S005,P001,234,142,210,0,166
2025-01-01,S005,P002,246,13,133,1,125
2025-01-01,S005,P003,134,59,158,1,34
2025-01-01,S005,P004,35,14,17,2,30
2025-01-01,S005,P005,225,141,50,1,315
2025-01-01,S005,P006,105,13,3,3,112
2025-01-01,S005,P007,205,19,192,0,32
2025-01-01,S005,P008,28,112,59,0,81
2025-01-01,S005,P009,168,35,0,3,200
2025-01-01,S005,P010,174,53,212,0,15
2025-01-01,S005,P011,189,63,110,0,142
2025-01-01,S005,P012,237,1,148,2,88
2025-01-01,S005,P013,190,7,45,0,152
2025-01-01,S005,P014,225,174,275,0,124
2025-01-01,S005,P015,209,145,188,0,166
2025-01-01,S005,P016,190,175,323,3,39
2025-01-01,S005,P017,73,16,26,1,62
2025-01-01,S005,P018,165,6,12,3,156
2025-01-01,S005,P019,246,113,101,3,255
2025-01-01,S005,P020,26,144,154,3,13
2025-01-01,S006,P001,84,63,67,1,79
2025-01-01,S006,P002,238,17,204,1,50
2025-01-01,S006,P003,128,83,168,2,41
2025-01-01,S006,P004,142,127,51,3,215
2025-01-01,S006,P005,38,27,25,3,37
2025-01-01,S006,P006,198,148,35,3,308
2025-01-01,S006,P007,199,43,120,2,120
2025-01-01,S006,P008,81,115,78,3,115
2025-01-01,S006,P009,92,44,35,2,99
2025-01-01,S006,P010,152,160,40,2,270
2025-01-01,S006,P011,185,135,73,1,246
2025-01-01,S006,P012,141,72,145,0,68
2025-01-01,S006,P013,68,75,32,0,111
2025-01-01,S006,P014,238,58,118,0,178
2025-01-01,S006,P015,216,139,344,3,8
2025-01-01,S006,P016,47,100,116,-1,28
2025-01-01,S006,P017,140,108,194,3,51
2025-01-01,S006,P018,231,52,113,1,169
2025-01-01,S006,P019,34,32,16,3,47
2025-01-01,S006,P020,68,28,24,2,70
2025-01-01,S007,P001,196,99,42,2,251
2025-01-01,S007,P002,97,154,103,3,145
2025-01-01,S007,P003,170,11,18,0,163
2025-01-01,S007,P004,83,25,100,0,8
2025-01-01,S007,P005,110,127,208,0,29
2025-01-01,S007,P006,157,131,60,3,225
2025-01-01,S007,P007,204,117,318,3,0
2025-01-01,S007,P008,126,145,103,0,168
2025-01-01,S007,P009,112,169,77,0,204
2025-01-01,S007,P010,221,140,297,0,64
2025-01-01,S007,P011,205,84,249,2,38
2025-01-01,S007,P012,160,1,126,1,34
2025-01-01,S007,P013,180,0,163,0,17
2025-01-01,S007,P014,238,124,186,2,174
2025-01-01,S007,P015,241,174,336,-1,79
2025-01-01,S007,P016,158,17,156,0,19
2025-01-01,S007,P017,221,176,91,0,306
2025-01-01,S007,P018,47,138,652,0,22
2025-01-01,S007,P019,173,83,248,3,5
2025-01-01,S007,P020,49,105,18,2,134
2025-01-01,S008,P001,33,86,59,2,58
