order_id,order_datetime,customer_id,product_id,store_id,campaign_id,sales_channel_en,sales_channel_ar,payment_method_en,payment_method_ar,quantity,unit_price_egp,discount_pct,gross_sales_egp,discount_egp,net_sales_egp,cost_egp,order_status,currency
ORD2025000000001,2025-05-17 22:32:02,C0004919,P003,S028,CMP006,Instagram,إنستجرام,Debit Card,بطاقة خصم,1,145.0,0.0,145.0,0.0,145.0,82.0,Completed,EGP
ORD2025000000002,2025-11-21 21:58:17,C0019773,P005,S035,CMP001,Noon,نون,Debit Card,بطاقة خصم,3,299.0,0.0,897.0,0.0,897.0,525.0,Completed,EGP
ORD2025000000003,2025-11-06 08:00:33,C0007417,P018,S028,CMP004,Retail Store,فرع,InstaPay,إنستاباي,3,149.0,0.0,447.0,0.0,447.0,240.0,Completed,EGP
ORD2025000000004,2025-11-18 04:26:02,C0024949,P010,S005,CMP003,Amazon Egypt,أمازون مصر,Credit Card,بطاقة ائتمان,1,195.0,0.0,195.0,0.0,195.0,108.0,Completed,جنيه
ORD2025000000005,2025-07-13 18:15:59,C0014449,P001,S022,CMP002,Jumia,جوميا,Cash on Delivery,الدفع عند الاستلام,2,249.0,0.15,498.0,74.7,423.3,300.0,Completed,EGP
ORD2025000000006,2025-03-20 15:09:36,C0013897,P011,S020,CMP002,Noon,نون,Meeza,ميزة,3,219.0,0.0,657.0,0.0,657.0,378.0,Completed,EGP
ORD2025000000007,2025-01-22 15:51:04,C0024410,P020,S006,CMP007,Website,الموقع الإلكتروني,Credit Card,بطاقة ائتمان,2,699.0,0.15,1398.0,209.7,1188.3,790.0,Completed,EGP
ORD2025000000008,2025-11-01 13:23:03,C0018493,P008,S005,CMP006,Retail Store,فرع,Debit Card,بطاقة خصم,1,179.0,0.2,179.0,35.8,143.2,98.0,Completed,جنيه
ORD2025000000009,2025-05-21 00:42:00,C0001369,P020,S020,CMP005,Noon,نون,Cash on Delivery,الدفع عند الاستلام,2,699.0,0.05,1398.0,69.9,1328.1,790.0,Completed,EGP
ORD2025000000010,2025-07-08 17:02:52,C0015031,P018,S002,CMP006,Website,الموقع الإلكتروني,Vodafone Cash,فودافون كاش,1,149.0,0.0,149.0,0.0,149.0,80.0,Cancelled,EGP
